asin,content,date,rate,reviewer,title
B07X1NCBS8, 'bIt's tiny which is good for me! No more bulky usb adaptors :)bIt was easy to put together as well. I personally didn't take the plastic off the shade but that's my preference.I used the light bulb I had in my other lamp that broke as it was still working so I put the light bulb that came with the lamp away for later :)' ,"Reviewed in Canada on June 13, 2019",5,Jenn Edward, 'Absolutely Love It!' 
B07X1NCBS8, 'It is great as a night light. Does not display enough light to read with. The down side is that it does not come with a wall adapter.' ,"Reviewed in Canada on August 11, 2019",4,Jon Junior, 'Makes a great night light.' 
B07X1NCBS8, 'These lights have a nice glow not really bright but good for a small area . I like plugging my phone in the base.'Good value.' ,"Reviewed in Canada on November 15, 2019",4,Lorraine Stover, 'Make a room look cozy' 
B07X1NCBS8," 'Great product , nice size and good light , just didnt give the full 5 stars as it sometimes dosent respond so quickly, but over all its really good' ","Reviewed in Canada on October 30, 2019",4,Amro, 'Really good' 
B07X1NCBS8, 'Positive:'As advertised'Looks good on my bedside table'Perfect size'I love the slow dim when it turns off'Negative:'bNot sure if I misread the ad but I was surprised that it plugs in via USB. We have several extra usb charging plugs so it's fine. I was just taken aback ,"Reviewed in Canada on November 12, 2019",5,Penni Stoddart, 'As advertised' 
B07X1NCBS8, 'Great lamp. Exactly what I needed. Soft light so when I get up early my wife doesn t get bothered.' ,"Reviewed in Canada on October 10, 2019",5,adam harris, 'Great lamp' 
B07X1NCBS8, 'Great bedside lamp. Love the touch feature. Nice to have the USB port.' ,"Reviewed in Canada on October 31, 2019",5,JB, 'Very nice' 
B07X1NCBS8, 'En amour avec mes lampes merci amazon' ,"Reviewed in Canada on November 6, 2019",5,Thomas Louis Cadoret, 'Lampe' 
B07X1NCBS8, 'Like that it is touch and dim lite for bedroom'Has port for charging great for bedtime'Good deal!!' ,"Reviewed in Canada on October 27, 2019",5,Amazon Customer, 'Everyone needs this lite be bed' 
B07X1NCBS8, 'We were very happy with them' ,"Reviewed in Canada on October 25, 2019",5,Norm McNee, 'Happy with the lanmps' 
B07X1NCBS8, 'I like the tap feature - and it doesn t activate by on its own inadvertently' ,"Reviewed in Canada on October 12, 2019",5,anonymous11, 'Good value' 
B07X1NCBS8," 'Beautiful lamp that fit well on my night stand, not too big not to small. The lamp seems well made from quality material.The on/off is a great feature as it give you to two different ways to close/open the light. The two usb ports and the electric outlet are also very nice as they allow me to recharge my cellphone and plug things as I do not use the original electrical outlet but rather a delay it offers me an extra electrical outlet.' ","Reviewed in Canada on October 20, 2019",5,Rose, 'Beautiful night stand lamp and practical with the extra outlet and usb ports' 
